move_id,slug,name,style,from_position,best_score,video_url,video_title,content_type
00000000-0000-0000-0002-000000000019,collar-tie-snap-down,Collar Tie — Snap Down,folkstyle,collar-tie,1.00,https://www.youtube.com/watch?v=-Xi74uWT0vU,Head Snap,technique
00000000-0000-0000-0002-000000000100,cradle,Cradle,folkstyle,referees-top,1.00,https://www.youtube.com/watch?v=gVFEvCjHcb8,Cradle,technique
00000000-0000-0000-0002-000000000066,double-covering-hips,Double Leg — Covering Hips Finish,folkstyle,double-leg-shot,1.00,https://www.youtube.com/watch?v=-0MbKdOH12s,Finishes Covering Hips,technique
00000000-0000-0000-0002-000000000067,double-opponent-turtles,Double Leg — Opponent Turtles,folkstyle,double-leg-shot,1.00,https://www.youtube.com/watch?v=8FyeXO4rviw,Double Leg,technique
00000000-0000-0000-0002-000000000068,double-scramble,Double Leg — Scramble,folkstyle,double-leg-shot,1.00,https://www.youtube.com/watch?v=8FyeXO4rviw,Double Leg,technique
00000000-0000-0000-0002-000000000069,double-to-hic,Double to Hi-C Conversion,folkstyle,double-leg-shot,1.00,https://www.youtube.com/watch?v=ehtf3Y5g6BI,High Crotch Change Off to Double,technique
00000000-0000-0000-0002-000000000070,double-to-single,Double to Outside Single,folkstyle,double-leg-shot,1.00,https://www.youtube.com/watch?v=OcOK0qaEF98,Double Leg Outside Step,technique
00000000-0000-0000-0002-000000000035,double-under-bodylock,Double Underhook — Bodylock,folkstyle,double-underhooks,0.00,,,
00000000-0000-0000-0002-000000000036,double-under-duck-under,Double Underhook — Duck Under,folkstyle,double-underhooks,1.00,https://www.youtube.com/watch?v=cVjTySx1uZ4,2 on 1 Duck Under,technique
00000000-0000-0000-0002-000000000037,double-under-firemans,Double Underhook — Fireman's Carry,folkstyle,double-underhooks,1.00,https://www.youtube.com/watch?v=BReKpgsEOaM,Fireman's Carry Inline Finish,technique
00000000-0000-0000-0002-000000000034,double-under-hic,Double Underhook — Hi-C,folkstyle,double-underhooks,1.00,https://www.youtube.com/watch?v=b1DwJIJgCIQ,Inside Step Penetration   Hi C,technique
00000000-0000-0000-0002-000000000010,duck-under,Duck Under,folkstyle,neutral,1.00,https://www.youtube.com/watch?v=cVjTySx1uZ4,2 on 1 Duck Under,technique
00000000-0000-0000-0002-000000000065,firemans-inline,Fireman's Carry — Inline Finish,folkstyle,high-crotch,0.97,https://www.youtube.com/watch?v=BReKpgsEOaM,Fireman's Carry Inline Finish,technique
00000000-0000-0000-0002-000000000064,firemans-kelly,Fireman's Carry — Kelly Finish,folkstyle,high-crotch,0.97,https://www.youtube.com/watch?v=-X-AyCR4zC0,Fireman's Carry Kelly Finish,technique
00000000-0000-0000-0002-000000000058,force-to-turtle,Force to Turtle,folkstyle,front-headlock,0.00,,,
00000000-0000-0000-0002-000000000056,front-headlock-ankle-pick,Front Headlock — Ankle Pick,folkstyle,front-headlock,1.00,https://www.youtube.com/watch?v=x-PIwrkcuIo,Front Headlock,technique
00000000-0000-0000-0002-000000000051,front-headlock-chop,Front Headlock — Chop / Finish,folkstyle,front-headlock,1.00,https://www.youtube.com/watch?v=x-PIwrkcuIo,Front Headlock,technique
00000000-0000-0000-0002-000000000052,front-headlock-go-behind,Front Headlock — Go Behind,folkstyle,front-headlock,0.96,https://www.youtube.com/watch?v=jIUdo33o3ew,Front Headlock Go Behind,technique
00000000-0000-0000-0002-000000000054,front-headlock-reset,Front Headlock — Reset to Neutral,folkstyle,front-headlock,1.00,https://www.youtube.com/watch?v=x-PIwrkcuIo,Front Headlock,technique
00000000-0000-0000-0002-000000000053,front-headlock-shuck-by,Front Headlock — Shuck By,folkstyle,front-headlock,1.00,https://www.youtube.com/watch?v=x-PIwrkcuIo,Front Headlock,technique
00000000-0000-0000-0002-000000000055,front-headlock-snap-spin,Front Headlock — Snap and Spin,folkstyle,front-headlock,1.00,https://www.youtube.com/watch?v=fUARd8ssOVE,Snap & Spin,technique
00000000-0000-0000-0002-000000000057,front-headlock-throw,Front Headlock — Throw,folkstyle,front-headlock,0.78,https://www.youtube.com/watch?v=x-PIwrkcuIo,Front Headlock,technique
00000000-0000-0000-0002-000000000087,granby-roll,Granby Roll,folkstyle,referees-bottom,0.00,,,
00000000-0000-0000-0002-000000000105,gut-wrench-turtle,Gut Wrench from Turtle,folkstyle,turtle,1.00,https://www.youtube.com/watch?v=f1fJcbiSlcY,Gut Wrench,technique
00000000-0000-0000-0002-000000000089,half-nelson,Half Nelson,folkstyle,referees-top,1.00,https://www.youtube.com/watch?v=5DFJOOs-eVQ,Half Nelson,technique
00000000-0000-0000-0002-000000000101,head-and-arm,Head & Arm,folkstyle,referees-top,1.00,https://www.youtube.com/watch?v=3sXklJiRqq8,Head & Arm,technique
00000000-0000-0000-0002-000000000008,head-outside-single,Head Outside Single,folkstyle,neutral,1.00,https://www.youtube.com/watch?v=wGwm0qVbu4M,Snatch Single,technique
00000000-0000-0000-0002-000000000012,head-snap,Head Snap,folkstyle,neutral,1.00,https://www.youtube.com/watch?v=-Xi74uWT0vU,Head Snap,technique
00000000-0000-0000-0002-000000000062,hic-outside-finish,Hi-C — Outside Finish,folkstyle,high-crotch,1.00,https://www.youtube.com/watch?v=XgvA-g8CFVk,High Crotch Outside Step Penetration,technique
00000000-0000-0000-0002-000000000059,hic-pop-finish,Hi-C — Pop Finish,folkstyle,high-crotch,1.00,https://www.youtube.com/watch?v=GwRZj65x2xE,High Crotch   Pop Finish,technique
00000000-0000-0000-0002-000000000063,hic-stuff-head,Hi-C Counter — Stuff Head,folkstyle,high-crotch,1.00,https://www.youtube.com/watch?v=RWqifP1lYSw,High Crotch Counter   Stuff Head,technique
00000000-0000-0000-0002-000000000060,hic-to-double,Hi-C — Convert to Double,folkstyle,high-crotch,1.00,https://www.youtube.com/watch?v=ehtf3Y5g6BI,High Crotch Change Off to Double,technique
00000000-0000-0000-0002-000000000061,hic-to-single,Hi-C — Convert to Single,folkstyle,high-crotch,1.00,https://www.youtube.com/watch?v=0BPnLWYBY1I,Single Leg,technique
00000000-0000-0000-0002-000000000050,hip-dump,Hip Dump,folkstyle,clinch-bodylock,1.00,https://www.youtube.com/watch?v=i0fP5Q8c1kc,Hip Dump,technique
